time_step,bus_voltages,bus_angles,load_p,load_q,gen_p,gen_q
10,"[1.06, 1.0450000000000002, 1.01, 1.00251970696789, 1.0050043026347544, 1.07, 1.0464843243504647, 1.0899999999999999, 1.0331370865905134, 1.028497329355862, 1.043764476882309, 1.0467268373731502, 1.0383586026229583, 1.008180043584386]","[0.0, -8.238676596010094, -20.043562578292708, -16.08183188176386, -13.751892860715659, -22.08965719610357, -20.613573357706365, -20.61357335770636, -22.9771413973924, -23.244475629541537, -22.849347535403908, -23.355558759389297, -23.4500441740601, -24.71478755514547]","[31.83799540575648, 138.2091782130074, 70.1316212163668, 11.150634335656644, 16.432513757809794, 43.2820674870883, 13.20469855538287, 5.135160549315562, 8.949851243092837, 19.807047833074307, 21.861112052800536]","[18.633296850373608, 27.87658583914162, -5.72203604066591, 2.3475019654014, 11.003915462819057, 24.35533289103952, 8.509694624580073, 2.6409397110765744, 2.3475019654014, 8.509694624580073, 7.335943641879373]","[40.0, 0.0, 0.0, 0.0]","[96.83130646764317, 62.21725009564504, 37.842657402425374, 26.927099890998313]"
11,"[1.06, 1.045, 1.01, 1.009917356984379, 1.0121672548326588, 1.0699999999999998, 1.0537257548910712, 1.0900000000000003, 1.0440166200068652, 1.0391887032430296, 1.0499943169948214, 1.050678395568102, 1.0439939909984988, 1.0211099795247787]","[0.0, -6.712786659005776, -16.623788654511735, -13.384516183003383, -11.424720670286554, -18.406047030646093, -17.22091817240803, -17.220918172408027, -19.216012683803065, -19.4320915504165, -19.078255679469443, -19.48126799028083, -19.56945096540376, -20.650623166161854]","[27.17515977585858, 117.96774428045522, 59.86049019751336, 9.517567479102542, 14.025888916572168, 36.943189557042764, 11.270803593674065, 4.3830902864288035, 7.6391002134902015, 16.906205390511097, 18.659441505082622]","[15.904356182184515, 23.79391869775636, -4.884014890592094, 2.0036984166531675, 9.392336328061718, 20.78837107277661, 7.263406760367731, 2.254160718734813, 2.0036984166531675, 7.263406760367731, 6.261557552041148]","[40.0, 0.0, 0.0, 0.0]","[70.31709860944967, 44.46911112882033, 25.73282790603691, 22.44616926978856]"
12,"[1.06, 1.045, 1.01, 1.011530500409971, 1.0137106018414292, 1.0700000000000005, 1.055328393537201, 1.0900000000000003, 1.0464481112639847, 1.0415881638855493, 1.0513969662964795, 1.0515827003324811, 1.0452784733016298, 1.0240296367341553]","[0.0, -6.364996729544485, -15.841927729234913, -12.768277990997305, -10.892957905201412, -17.565636816614518, -16.44609382444905, -16.446093824449047, -18.35740443042315, -18.561896769476995, -18.21751485781573, -18.596881050390227, -18.683587476223863, -19.723426606680068]","[26.09042860296533, 113.25891126264212, 57.47108236044895, 9.137661630531634, 13.466027666046617, 35.46855501324779, 10.820915088787462, 4.2081336456395695, 7.334175782400393, 16.231372633181195, 17.914626091437025]","[15.269513514177865, 22.84415407632909, -4.689063205141233, 1.9237182380066604, 9.017429240656217, 19.958576719319097, 6.973478612774143, 2.1641830177574928, 1.9237182380066604, 6.973478612774143, 6.011619493770813]","[40.0, 0.0, 0.0, 0.0]","[64.65350463151705, 40.50661469174117, 23.05624242143955, 21.454471214562247]"
13,"[1.06, 1.045, 1.01, 1.0068830389675982, 1.0092454013554204, 1.0700000000000003, 1.0507350430548321, 1.0900000000000003, 1.0395028374303354, 1.0347442872121657, 1.0474006567707201, 1.0490205039618392, 1.0416341551256871, 1.0157195355410318]","[0.0, -7.351701806241256, -18.057780761771866, -14.51514454881192, -12.40027465011246, -19.949063384732415, -18.642757581654966, -18.642757581654966, -20.791954423081165, -21.029409661533794, -20.65824569147126, -21.104580192483724, -21.195437106261227, -22.353029495617886]","[29.14677929215767, 126.52657185812224, 64.20350461590489, 10.208088600018351, 15.04349898950073, 39.62350180270281, 12.088525973705945, 4.701093434218979, 8.193334271067364, 18.13278896055892, 20.013226334246514]","[17.058253318451722, 25.52022150004589, -5.238361255272576, 2.149071284214391, 10.073771644754952, 22.2966145737243, 7.790383405277165, 2.4177051947411896, 2.149071284214391, 7.790383405277165, 6.71584776316997]","[40.0, 0.0, 0.0, 0.0]","[81.09039010838306, 51.82965877950103, 30.731239146105985, 24.296794249351787]"
14,"[1.06, 1.0449999999999997, 1.01, 1.0084297366870274, 1.010737747841497, 1.0699999999999996, 1.0522557462996127, 1.09, 1.0417942219920506, 1.0369988740004235, 1.0487156745870376, 1.0498587759643914, 1.0428281539232132, 1.0184512205414948]","[0.0, -7.028432592459011, -17.33260705473279, -13.943313996015695, -11.9068889324436, -19.16848166370429, -17.923600951029623, -17.923600951029623, -19.994796205255465, -20.22142078715586, -19.859017679650922, -20.28345200262281, -20.37296225710359, -21.49180925488019]","[28.1526392784156, 122.21099631459676, 62.01364781144079, 9.859910530689332, 14.530394466279017, 38.272021138859905, 11.676209838974211, 4.540748270712194, 7.913875557526967, 17.514314758461317, 19.3306140667462]","[16.476429439441386, 24.649776326723337, -5.059690930222158, 2.0757706380398604, 9.73017486581184, 21.536120369663543, 7.524668562894492, 2.335241967794843, 2.0757706380398604, 7.524668562894492, 6.486783243874562]","[40.0, 0.0, 0.0, 0.0]","[75.57995841199134, 48.092469534353896, 28.18911019829075, 23.35579706694415]"
15,"[1.06, 1.045, 1.01, 1.0060331488179908, 1.0084228400647828, 1.07, 1.0499026436930303, 1.0900000000000003, 1.0382517898295986, 1.0335146838550484, 1.0466840808608149, 1.048565689887888, 1.0409856421223935, 1.0142321342148843]","[0.0, -7.527289066184463, -18.45134502622751, -14.825549778882959, -12.668085887297865, -20.372942674605223, -19.033173565515664, -19.033173565515657, -21.22476565829995, -21.468116731389358, -21.092200026677588, -21.550412852527923, -21.64199582255533, -22.820701693651305]","[29.683795344252307, 128.85776596445012, 65.3864247675235, 10.396167954669009, 15.320668564775382, 40.35354666614944, 12.311251525265932, 4.787708926492308, 8.344292700458023, 18.4668772878989, 20.38196085849583]","[17.372543818986372, 25.99041988667253, -5.334875660948571, 2.1886669378250554, 10.259376271054942, 22.70741947993494, 7.933917649615824, 2.462250305053187, 2.1886669378250554, 7.933917649615824, 6.839584180703297]","[40.0, 0.0, 0.0, 0.0]","[84.13433391045061, 53.870578756831165, 32.12321035911482, 24.81187531910157]"
16,"[1.06, 1.045, 1.0099999999999998, 1.0022531508122963, 1.0047438072109887, 1.0699999999999998, 1.0462264215591128, 1.0900000000000003, 1.0327526404033323, 1.028120815882314, 1.0435456619472516, 1.0465899339481797, 1.0381626916987672, 1.0077269778684232]","[0.0, -8.291738396337768, -20.162177960266558, -16.175455097161997, -13.832656868859795, -22.21767122309283, -20.731371186684836, -20.731371186684836, -23.107781041513505, -23.376910470868907, -22.98035237659636, -23.490135449086985, -23.584834821406066, -24.856027757092477]","[31.99728436122548, 138.9006537708498, 70.4824973486902, 11.206422172595097, 16.514727412245406, 43.49861238046781, 13.270763099125773, 5.16085231632669, 8.994628322740805, 19.906144648688663, 21.970485575219346]","[18.726521262099705, 28.01605543148775, -5.750664009621168, 2.359246773177916, 11.058969249271476, 24.47718527172087, 8.552269552769944, 2.6541526198251555, 2.359246773177916, 8.552269552769944, 7.372646166180987]","[40.0, 0.0, 0.0, 0.0]","[97.80169171450757, 62.84475759226912, 38.27437012910652, 27.086687766430487]"
17,"[1.06, 1.045, 1.0099999999999998, 0.9988691005804838, 1.0014235628149648, 1.07, 1.042968763520521, 1.0900000000000003, 1.0279132261247437, 1.0233883958329535, 1.0407986156871492, 1.0448819101056608, 1.0357146224215612, 1.0020451174264626]","[0.0, -8.95496911194229, -21.643074059716344, -17.344763614604506, -14.841292967396607, -23.817445806335837, -22.202862401436736, -22.202862401436736, -24.739962703338477, -25.031606840982434, -24.617211875354606, -25.171539629205224, -25.268883295213072, -26.621068859551656]","[33.97183129909812, 147.4721893260389, 74.83196018879676, 11.897968565582751, 17.533848412437738, 46.18290430061726, 14.089699617137468, 5.479327628886795, 9.549685296059844, 21.134549425706208, 23.32628047726093]","[19.882131681960654, 29.744921413956884, -6.10553650075957, 2.5048354874911065, 11.741416347614555, 25.98766818272022, 9.08002864215526, 2.8179399234274944, 2.5048354874911065, 9.08002864215526, 7.827610898409707]","[40.0, 0.0, 0.0, 0.0]","[110.2021318940632, 70.744612326515, 43.72963399625063, 29.102496600983415]"
18,"[1.06, 1.045, 1.01, 1.0057612540789758, 1.0081593180110786, 1.07, 1.0496368124331814, 1.09, 1.037852729853957, 1.0331226627731531, 1.0464557120217322, 1.0484210342650353, 1.0407792766314483, 1.0137582750346545]","[0.0, -7.583164727151839, -18.57653834825823, -14.924299794607265, -12.753283585802471, -20.507816198759013, -19.157383437186887, -19.15738343718689, -21.362470838172516, -21.607700041126275, -21.230271793850058, -21.69226201238159, -21.784075229971435, -22.969510013018994]","[29.854246499779823, 129.5976967870627, 65.76188860320161, 10.45586513356344, 15.408643354725069, 40.585265978963356, 12.381945552904073, 4.815201048351585, 8.392207541412764, 18.572918329356114, 20.498998748696753]","[17.47230094687575, 26.139662833908606, -5.365509739591765, 2.201234764960725, 10.318287960753393, 22.837810686467513, 7.9794760229826265, 2.4763891105808153, 2.201234764960725, 7.9794760229826265, 6.878858640502265]","[40.0, 0.0, 0.0, 0.0]","[85.11047705748997, 54.5216574061873, 32.56781095587523, 24.976369257923604]"
19,"[1.06, 1.045, 1.0100000000000002, 1.004782675686657, 1.0072094168646295, 1.07, 1.0486818969643559, 1.0900000000000003, 1.0364210771993114, 1.031717045452244, 1.0456372331510189, 1.0479037365803732, 1.0400408918260478, 1.0120606137310009]","[0.0, -7.783097968668181, -19.02431614490143, -15.277537625527119, -13.058036471130736, -20.990365963374266, -19.6017171530163, -19.601717153016295, -21.8551102642219, -22.107067527662394, -21.7242342534344, -22.199730483221053, -22.292364399568623, -23.50191666741528]","[30.46241084932863, 132.23774663625613, 67.10153173262249, 10.668862785939982, 15.72253463191155, 41.41203318226704, 12.634179614928925, 4.913292072472361, 8.56316618345183, 18.95126942239339, 20.91658625138234]","[17.82823123439971, 26.67215696484996, -5.474811166469201, 2.246076375987365, 10.52848301244077, 23.303042400868907, 8.142026862954198, 2.5268359229857857, 2.246076375987365, 8.142026862954198, 7.018988674960516]","[40.0, 0.0, 0.0, 0.0]","[88.63287077042611, 56.85767391411731, 34.16515949954921, 25.567262167954873]"
20,"[1.06, 1.045, 1.01, 0.9960699181569792, 0.9986596857838111, 1.07, 1.040296082539297, 1.0899999999999999, 1.0239649872190533, 1.0195369896960331, 1.0385673462300191, 1.0435089962779551, 1.0337416077282675, 0.997438109638613]","[0.0, -9.489811563015792, -22.83501973900478, -18.28655121598062, -15.653579796995102, -25.107250850461643, -23.388398879045685, -23.38839887904568, -26.055335649071527, -26.365241532627252, -25.936515497489797, -26.526625560204643, -26.626060685408532, -28.044073003214862]","[35.54179814603472, 154.28743711320146, 78.2902281742147, 12.447818705523682, 18.34415388182437, 48.31719102801956, 14.740837940751726, 5.732548088070117, 9.991012382065064, 22.111256911127594, 24.40427614635565]","[20.800960205282998, 31.11954676380921, -6.387696440992415, 2.620593411689197, 12.284031617293104, 27.18865664627541, 9.499651117373338, 2.9481675881503464, 2.620593411689197, 9.499651117373338, 8.18935441152874]","[40.0, 0.0, 0.0, 0.0]","[120.56600358280099, 77.18988782055172, 48.20803140639371, 30.75632701229975]"
21,"[1.06, 1.0449999999999997, 1.01, 1.0123165733559387, 1.0144600016850447, 1.07, 1.056112725121735, 1.09, 1.0476414436283912, 1.0427671806275587, 1.0520868047768914, 1.052029459252556, 1.0459123573192755, 1.0254667423945378]","[0.0, -6.193349936236956, -15.455717000531997, -12.463929854787276, -10.630318635824924, -17.150724381944148, -16.063455452123772, -16.063455452123772, -17.933440226641572, -18.132226779850996, -17.792516079095254, -18.16019601557114, -18.246168274808156, -19.26567657537576]","[25.552112735741332, 110.92207464086793, 56.28529902158687, 8.949127041089131, 13.188187218447135, 34.736743120017024, 10.597650443395022, 4.121308505764731, 7.182851967189962, 15.896475665092535, 17.544999067398432]","[14.954462292346312, 22.37281760272283, -4.592315192137843, 1.884026745492449, 8.83137536949585, 19.546777484484153, 6.829596952410127, 2.119530088679005, 1.884026745492449, 6.829596952410127, 5.887583579663903]","[40.0, 0.0, 0.0, 0.0]","[61.910774687310735, 38.562660183886635, 21.74684655440796, 20.969134043320377]"
22,"[1.06, 1.0449999999999997, 1.0099999999999998, 1.0111039925236185, 1.013303252946758, 1.0699999999999996, 1.0549037686533869, 1.09, 1.0458029895751566, 1.0409511687142452, 1.0510244340282169, 1.051341990987712, 1.0449367523533653, 1.0232538857406368]","[0.0, -6.457525363578196, -16.05002824062398, -12.932282411851569, -11.034483365618573, -17.78926193571922, -16.652295300648053, -16.652295300648053, -18.585889804240868, -18.793461359087832, -18.446562816072937, -18.832224284641395, -18.919324983895333, -19.97014248730521]","[26.379804711656288, 114.51509695106097, 58.108509917841936, 9.239009945096212, 13.615383076983886, 35.86194649741293, 10.940932829719197, 4.254807211557466, 7.4155211401430146, 16.411399244578796, 18.11332212920179]","[15.438871881937093, 23.09752486274053, -4.7410708928783185, 1.9450547252834136, 9.117444024765996, 20.17994277481541, 7.050823379152374, 2.18818656594384, 1.9450547252834136, 7.050823379152374, 6.0782960165106665]","[40.0, 0.0, 0.0, 0.0]","[66.14641097521886, 41.557745114509515, 23.765275273855313, 21.717225187515417]"
23,"[1.06, 1.045, 1.01, 1.0171434474205634, 1.0190202304482074, 1.0700000000000003, 1.060981620964576, 1.09, 1.055101688457295, 1.0501597218816783, 1.0564217494152026, 1.054867790693542, 1.049928922299812, 1.0345159566892554]","[0.0, -5.105307580873546, -13.002379035750247, -10.53127206631454, -8.962338242696168, -14.518169572678186, -13.634080577060233, -13.634080577060233, -15.242448284446906, -15.405253944383164, -15.095231018008002, -15.388599225923429, -15.469834364884436, -16.361509167303648]","[22.094780865081134, 95.91374919311721, 48.66960946317409, 7.738264266111366, 11.403757865848323, 30.036683664511223, 9.163733999342405, 3.5636743330776026, 6.2109752662209665, 13.745600999013607, 15.171070732244656]","[12.93104686573873, 19.345660665278416, -3.970951399715042, 1.6291082665497616, 7.636444999452003, 16.90199826545377, 5.905517466242885, 1.8327467998684817, 1.6291082665497616, 5.905517466242885, 5.090963332968004]","[40.0, 0.0, 0.0, 0.0]","[45.33766812312075, 26.424099093477654, 13.62703508263115, 17.956306073580638]"
24,"[1.06, 1.0449999999999995, 1.0100000000000002, 1.0177553699830422, 1.0195928726264463, 1.07, 1.0616058480597441, 1.0900000000000003, 1.0560650243404905, 1.0511171512425854, 1.0569844200513, 1.0552401748362537, 1.0504545454544822, 1.0356929311033043]","[0.0, -4.962848314343234, -12.680485125168575, -10.277765671096025, -8.74352681205102, -14.173128079474804, -13.315469128148571, -13.31546912814857, -14.889622402209167, -15.047740291221876, -14.741613941645547, -15.025223825322037, -15.105828069577878, -15.980896949744587]","[21.636403762166204, 93.92392785235286, 47.65991243463337, 7.577726663247151, 11.167176135311585, 29.41354428497249, 8.973623680161097, 3.489742542284872, 6.082122716553636, 13.460435520241646, 14.856332537155602]","[12.662780082005108, 18.944316658117877, -3.888570261403142, 1.5953108764730848, 7.47801973346758, 16.55135034340825, 5.783001927214931, 1.79472473603222, 1.5953108764730848, 5.783001927214931, 4.985346488978388]","[40.0, 0.0, 0.0, 0.0]","[43.27236160761697, 24.85877650892986, 12.587173411539425, 17.57004008792453]"
25,"[1.06, 1.0449999999999995, 1.01, 1.0287370353207106, 1.0296070676311175, 1.0700000000000003, 1.0731446163395881, 1.0900000000000003, 1.074202620304811, 1.0692780358697365, 1.0677152300593684, 1.062525609877534, 1.0606772857547724, 1.0582537299395347]","[0.0, -2.1860355704882872, -6.373775795240729, -5.312394281022303, -4.456710992269052, -7.425926129989133, -7.076279723044473, -7.076279723044473, -7.984802626030934, -8.05253912732782, -7.8227663792452455, -7.915044104824946, -7.982852839747565, -8.540089099676015]","[12.44566116777417, 54.026787189139505, 27.414866535465674, 4.358849072584503, 6.423567054335054, 16.919216794900372, 5.161794954376384, 2.007364704479705, 3.498549913521773, 7.742692431564575, 8.545638313356461]","[7.283866213397788, 10.897122681461257, -2.236777813563099, 0.9176524363335797, 4.301495795313652, 9.520644026960886, 3.3264900817092258, 1.032358990875277, 0.9176524363335797, 3.3264900817092258, 2.8676638635424356]","[40.0, 0.0, 0.0, 0.0]","[7.950180172788841, -4.4778884723395205, -6.574429681973392, 10.429956395032164]"
26,"[1.06, 1.045, 1.01, 1.0290710956915805, 1.0299023263345215, 1.0700000000000003, 1.0735076742534808, 1.0900000000000003, 1.0747848637793738, 1.0698656261445059, 1.0680643678215314, 1.062768754532196, 1.0610165117959762, 1.0589916694897707]","[0.0, -2.0936230974303274, -6.162797217713279, -5.1462896085516, -4.3132741219487105, -7.200539413275767, -6.86758508044904, -6.86758508044904, -7.753983551972802, -7.818742682323605, -7.591523630246566, -7.677402180421534, -7.744768508733725, -8.291612194782976]","[12.131608097104857, 52.66347846761649, 26.723081430489028, 4.248858135391564, 6.261475146892828, 16.492278288690937, 5.031542528753166, 1.9567109834040093, 3.4102677139327033, 7.5473137931297485, 8.329998186491355]","[7.100065568351692, 10.622145338478909, -2.1803350957930383, 0.8944964495561187, 4.192952107294304, 9.280400664144729, 3.24254962964093, 1.0063085057506336, 0.8944964495561187, 3.24254962964093, 2.79530140486287]","[40.0, 0.0, 0.0, 0.0]","[6.938498185541263, -5.414184371519948, -7.175124785453221, 10.205299496852803]"
