time_step,bus_voltages,bus_angles,load_p,load_q,gen_p,gen_q,mean_bus_voltage,mean_bus_angle,sum_load_p,sum_load_q,sum_gen_p,sum_gen_q
10,"[1.06, 1.0449999999999997, 1.01, 1.033556437207518, 1.033795877089708, 1.0700000000000005, 1.0784738809937005, 1.09, 1.082834738395181, 1.0780225540832153, 1.0729248263311388, 1.0661961578596464, 1.0657852663379634, 1.0692928648654547]","[0.0, -0.7920464048586368, -3.1834761375165415, -2.8002295158547814, -2.287169652205009, -4.019065008731036, -3.919921717475915, -3.9199217174759156, -4.494763135433917, -4.517779182256422, -4.326613491638344, -4.322197595685828, -4.383215404411735, -4.784883459732248]","[7.654185032473002, 33.22692304419156, 16.860370716691676, 2.680728398469807, 3.9505471135344536, 10.40545891511307, 3.174546787661613, 1.2345459729795163, 2.1516372671928714, 4.761820181492422, 5.255638570684227]","[4.479638244811388, 6.701820996174517, -1.3756369413200327, 0.5643638733620648, 2.645455656384678, 5.855275186131422, 2.045819040937485, 0.6349093575323229, 0.5643638733620648, 2.045819040937485, 1.7636371042564518]","[40.0, 0.0, 0.0, 0.0]","[-6.16547395984982, -18.311973837228557, -15.374666876898983, 7.132256438754904]",1.0611344716545377,-3.4108058873768807,91.35640200048421,25.92546543256985,40.0,-32.71985823522246
11,"[1.06, 1.045, 1.01, 1.029032147715522, 1.0298679365284331, 1.07, 1.0734653012083948, 1.0900000000000003, 1.0747168680138417, 1.069796989949669, 1.0680235785093846, 1.0627403275712257, 1.0609768579677865, 1.0589054434418512]","[0.0, -2.104426756671967, -6.187465815362174, -5.165711478059053, -4.330045648689649, -7.22689189908644, -6.891986799813297, -6.891986799813293, -7.780971723659619, -7.846078833711219, -7.618561195389083, -7.705187942083665, -7.772606047113017, -8.320664104114202]","[12.168349685103019, 52.82297420906472, 26.80401451372922, 4.261726156994605, 6.280438547149947, 16.542226530439592, 5.046780975388348, 1.9626370459843576, 3.4205959944298807, 7.570171463082525, 8.355226281476266]","[7.121568709714669, 10.654315392486513, -2.1869384226682844, 0.8972055067357068, 4.205650812823624, 9.308507132382957, 3.2523699619169366, 1.00935619507767, 0.8972055067357068, 3.2523699619169366, 2.803767208549082]","[40.0, 0.0, 0.0, 0.0]","[7.056218174756594, -5.304863122959839, -7.105024937253576, 10.231519547459659]",1.0573232464932933,-6.13161321739762,145.23514140284246,41.215377965671514,40.0,4.877849662002838
12,"[1.06, 1.0449999999999997, 1.01, 1.0282745698723488, 1.0291972347515599, 1.07, 1.072643405173205, 1.09, 1.0734001196394287, 1.0684686716425962, 1.0672345279812414, 1.0621914959203904, 1.0602109412703566, 1.0572381422380182]","[0.0, -2.3130434517197, -6.663618141721057, -5.540584844583801, -4.653757878259858, -7.735587694231941, -7.362979618182135, -7.362979618182138, -8.301911023623333, -8.373742535913637, -8.140461403680359, -8.241531053871265, -8.309946037605828, -8.881484219522758]","[12.876440357402132, 55.89680560678713, 28.363771847180722, 4.509721046832082, 6.64590470059465, 17.504838273887692, 5.340459134406413, 2.0768452189358273, 3.619644524431014, 8.010688701609624, 8.841426789183952]","[7.535981222995717, 11.274302617080206, -2.314198958242779, 0.9494149572278072, 4.4503826120053445, 9.8501801812385, 3.441629219950801, 1.068091826881283, 0.9494149572278072, 3.441629219950801, 2.966921741336896]","[40.0, 0.0, 0.0, 0.0]","[9.358043931002847, -3.1867246088617183, -5.744895889259302, 10.740101255297613]",1.0567042220349392,-6.562973394364129,153.68654620125122,43.61374959765239,40.0,11.16652468817944
13,"[1.06, 1.0449999999999995, 1.0100000000000002, 1.0251065058885507, 1.0263582188401652, 1.07, 1.0692505066299889, 1.0899999999999999, 1.0680055175118817, 1.0630426819059748, 1.0640180589943324, 1.059975067417387, 1.0571113786656305, 1.050455070894229]","[0.0, -3.1562647873966405, -8.58449696639245, -7.052809675388523, -5.959497399673965, -9.788664112796626, -9.26298003033155, -9.26298003033155, -10.403860040565034, -10.502969949055444, -10.246434693649633, -10.405785896092999, -10.478174168508843, -11.145224278614325]","[15.711496922896345, 68.2038253519279, 34.608735157347695, 5.502644083595032, 8.109159702140051, 21.358947429743882, 6.516289046362538, 2.534112406918765, 4.416595909201276, 9.774433569543811, 10.788078532311316]","[9.195207876533804, 13.756610208987581, -2.8237252534237665, 1.1584513860200074, 5.430240871968782, 12.018933129957576, 4.199386274322526, 1.303257809272508, 1.1584513860200074, 4.199386274322526, 3.620160581312521]","[40.0, 0.0, 0.0, 0.0]","[19.214556736232666, 5.5116171916409264, -0.12205247504620775, 12.839595670344476]",1.0541659290534384,-8.303581573485541,187.5243181119886,53.21636054529407,40.0,37.443717123171865
14,"[1.06, 1.0449999999999997, 1.0099999999999998, 1.0245288467524338, 1.0258350493129134, 1.0699999999999998, 1.0686389380829513, 1.09, 1.0670398165284691, 1.0620739859158195, 1.0634449296654296, 1.0595835798753759, 1.0565628205113842, 1.049248634642032]","[0.0, -3.3053417723164, -8.923486731307241, -7.319678907122108, -6.189909709272033, -10.151157526355568, -9.598292428429524, -9.59829242842952, -10.774890179774555, -10.878839618783745, -10.618200147387292, -10.787837995985008, -10.86091946349013, -11.544958211329881]","[16.208169788710503, 70.35988912887231, 35.70278875116874, 5.676594027382479, 8.36550698772155, 22.034147869445153, 6.722282400847672, 2.614220933662984, 4.5562136272412, 10.083423601271512, 11.129111974736704]","[9.485887387862826, 14.191485068456197, -2.9129890403673246, 1.1950724268173647, 5.601902000706394, 12.398876428230157, 4.3321375472129455, 1.344456480169535, 1.1950724268173647, 4.3321375472129455, 3.734601333804262]","[40.0, 0.0, 0.0, 0.0]","[21.048748517777994, 7.071908073508023, 0.8927467966067155, 13.218028662834676]",1.0537111858062007,-8.610843222855928,193.4523490910608,54.898639606922664,40.0,42.231432050727406
15,"[1.06, 1.0450000000000002, 1.01, 1.02148315260428, 1.0230514946478493, 1.0700000000000005, 1.0654467469053026, 1.0900000000000003, 1.0620298336695055, 1.0570606354095893, 1.060483938929368, 1.0575772287378882, 1.0537463257637865, 1.0430260010494423]","[0.0, -4.070123847707425, -10.65970709840367, -8.686573001515088, -7.369988177159281, -12.008728959367305, -11.31583474104698, -11.31583474104698, -12.675757979909676, -12.804617330021653, -12.522956285168888, -12.745276474553906, -12.821870867900518, -13.593558499906637]","[18.734366816851058, 81.32614535241333, 41.26740708965346, 6.561345060279632, 9.669350615148934, 25.46837885240121, 7.770013887173248, 3.021672067234041, 5.266342745750757, 11.655020830759877, 12.86368965765349]","[10.964352929677805, 16.40336265069908, -3.3670060177750742, 1.3813358021641338, 6.475011572644374, 14.331358947452886, 5.007342282844983, 1.55400277743465, 1.3813358021641338, 5.007342282844983, 4.316674381762915]","[40.0, 0.0, 0.0, 0.0]","[30.887420999201225, 15.180058129460575, 6.19541593727606, 15.193327205915587]",1.0513503826940722,-10.185059143122,223.60373297531902,63.455113411914866,40.0,67.45622227185345
16,"[1.06, 1.045, 1.0100000000000002, 1.0198410364278205, 1.0215344984279162, 1.07, 1.0637464237120335, 1.0900000000000005, 1.0593811477028223, 1.0544181239689994, 1.058926610674076, 1.0565327040381718, 1.05227657760683, 1.0397599153639676]","[0.0, -4.468845767639719, -11.563033671097072, -9.397817543450245, -7.983968660550369, -12.975911497691039, -12.209607674071458, -12.20960767407146, -13.665178237534658, -13.807080753192608, -13.514482713429926, -13.764205867715813, -13.842603227411468, -14.660320460436004]","[20.036798511264138, 86.98001934382864, 44.136358010987344, 7.017496252792969, 10.341573425168589, 27.238965718077978, 8.310192930939042, 3.231741695365183, 5.632464097636461, 12.465289396408568, 13.757986074554637]","[11.726605580325092, 17.543740631982423, -3.6010836034069182, 1.4773676321669416, 6.925160775782535, 15.327689183732017, 5.355457666605162, 1.6620385861878089, 1.4773676321669416, 5.355457666605162, 4.61677385052169]","[40.0, 0.0, 0.0, 0.0]","[36.29980452169423, 19.474865797669924, 9.02353027662995, 16.245471560535872]",1.0501012169944741,-11.004475982020846,239.14888545702354,67.86657560266885,40.0,81.04367215652998
17,"[1.06, 1.0449999999999997, 1.0099999999999998, 1.030262185788978, 1.0309495171051635, 1.0700000000000003, 1.074809322318187, 1.09, 1.076879026103211, 1.071981613582466, 1.069322735547369, 1.0636484449003147, 1.062242793100743, 1.0616535559939668]","[0.0, -1.7593752023862281, -5.399099020985148, -4.545000381062463, -3.7940247544617747, -6.3848066959293375, -6.112121718586843, -6.112121718586843, -6.918504771304137, -6.972510365153275, -6.754534525276596, -6.817253831882586, -6.88301087428152, -7.392360988323454]","[10.991414066630496, 47.713880418276155, 24.21150195322292, 3.849527507206993, 5.672987905357676, 14.942244929290306, 4.558650995376702, 1.772808720424273, 3.089752341310876, 6.837976493065057, 7.547099981234763]","[6.432763071253791, 9.623818768017482, -1.9754154313299044, 0.8104268436225253, 3.7988758294805853, 8.408178502583699, 2.9377973081316533, 0.9117301990753407, 0.8104268436225253, 2.9377973081316533, 2.5325838863203898]","[40.0, 0.0, 0.0, 0.0]","[3.3688812725172994, -8.778224107770104, -9.327424015986876, 9.39985164528885]",1.058339228174314,-5.417480346301444,131.18784531139622,37.22898312890974,40.0,-5.336915205950831
18,"[1.06, 1.0449999999999997, 1.0099999999999998, 1.0297163045414621, 1.0304706826359171, 1.0699999999999996, 1.0742113551206043, 1.0900000000000003, 1.0759156696487886, 1.0710077087650416, 1.0687433481085893, 1.063242757843771, 1.0616774685432746, 1.0604275202284088]","[0.0, -1.9135020652248422, -5.751370568021711, -4.822362775170418, -4.033546994158741, -6.761057837684337, -6.4606018799184834, -6.4606018799184834, -7.303880106707286, -7.3628413498907355, -7.140602013486013, -7.21400307463505, -7.280503967558951, -7.807124432907359]","[11.518008656027888, 49.99983481095977, 25.371466071803354, 4.033956948654928, 5.944778661175685, 15.658122366489527, 4.777054281301888, 1.857743331617401, 3.237781235104613, 7.165581421952836, 7.908678754599793]","[6.740954374725998, 10.08489237163732, -2.0700568552308183, 0.8492540944536694, 3.9808785677515734, 8.811011229956819, 3.078546092394551, 0.9554108562603779, 0.8492540944536694, 3.078546092394551, 2.6539190451677155]","[40.0, 0.0, 0.0, 0.0]","[4.99743024100205, -7.231401527331464, -8.338937417150847, 9.769868247823842]",1.0578866296739897,-5.736571353234458,137.47300653968767,39.01260996396543,40.0,-0.8030404556564186
19,"[1.06, 1.045, 1.0100000000000002, 1.0322192973167186, 1.0326499772909914, 1.0700000000000003, 1.0769742116581427, 1.09, 1.080386273197043, 1.0755347849843446, 1.0714396683276384, 1.065140333477101, 1.0643188111157516, 1.0661395407245697]","[0.0, -1.1928193329147359, -4.102420704787331, -3.5239555730776133, -2.912233883364016, -5.000146000462649, -4.829256855300458, -4.829256855300457, -5.500027075534602, -5.535859067892386, -5.333574805132094, -5.356992260627991, -5.41998849200114, -5.8661232012224085]","[9.043532995525327, 39.258101759377226, 19.920777750512002, 3.1673203117968884, 4.667629933174363, 12.294203841843188, 3.7507740534436835, 1.458634354116988, 2.5421913028896075, 5.626161080165528, 6.209614821812321]","[5.292758942081642, 7.918300779492221, -1.6253354231589296, 0.6668042761677663, 3.125645044536403, 6.918094365240574, 2.417165501108152, 0.7501548106887369, 0.6668042761677663, 2.417165501108152, 2.0837633630242682]","[40.0, 0.0, 0.0, 0.0]","[-2.359577429827908, -14.398899315061628, -12.902208088177458, 8.060238031577864]",1.0599859212923073,-4.243046721972706,107.93894220465712,30.63132143645675,40.0,-21.60044680148913
20,"[1.06, 1.0450000000000002, 1.0100000000000002, 1.0305370363746613, 1.0311898862640656, 1.0700000000000003, 1.075111332818174, 1.0899999999999996, 1.077366446394146, 1.0724747050835381, 1.0696162198292234, 1.0638543706664616, 1.0625296198555712, 1.062274877371466]","[0.0, -1.6811520950647818, -5.220234740428928, -4.404166953359863, -3.6724029792272765, -6.193780627931072, -5.93517707964295, -5.935177079642951, -6.722835567197728, -6.774327978479081, -6.558516824849627, -6.615813186533199, -6.6811915339778105, -7.181788577179649]","[10.723610727445777, 46.55134242052499, 23.621594136954283, 3.7557346326538203, 5.53476682706879, 14.578180482011543, 4.447580486037419, 1.729614633458996, 3.01447121831425, 6.6713707290561315, 7.363216582439726]","[6.276030241408357, 9.38933658163455, -1.9272848772828814, 0.7906809752955415, 3.706317071697849, 8.203315118691242, 2.866218535446337, 0.8895160972074839, 0.7906809752955415, 2.866218535446337, 2.4708780477985655]","[40.0, 0.0, 0.0, 0.0]","[2.553806027085706, -9.560385649290366, -9.82649677209267, 9.212970325398773]",1.0585681781898078,-5.255468944536779,127.99148287596572,36.32190730263892,40.0,-7.620106068898556
21,"[1.06, 1.0450000000000002, 1.01, 1.0280576914331707, 1.0290046137268543, 1.0699999999999998, 1.0724089048470524, 1.09, 1.0730251677745113, 1.0680907122428471, 1.0670101313472007, 1.0620357864368928, 1.059993527603592, 1.0567642237782453]","[0.0, -2.3722422325337287, -6.798668102578097, -5.646907188365107, -4.745567969988896, -7.879882670001594, -7.496563796621478, -7.49656379662148, -8.449669391160242, -8.523410808860746, -8.288494925486575, -8.39366137677779, -8.462358234122041, -9.040570051440397]","[13.076893973503699, 56.76697752553219, 28.805324052233942, 4.579925999936779, 6.749364631485782, 17.77734434185987, 5.423596578872502, 2.1091764473393058, 3.6759932367913617, 8.135394868308756, 8.979065447244475]","[7.6532973946311955, 11.449814999841948, -2.350225184178084, 0.9641949473551118, 4.5196638157270845, 10.003522578809283, 3.4952066841622793, 1.0847193157745005, 0.9641949473551118, 3.4952066841622793, 3.0131092104847226]","[40.0, 0.0, 0.0, 0.0]","[10.021146265892419, -2.5831916918742035, -5.356683003049149, 10.885207900489796]",1.0565279113707404,-6.685325753182726,156.07905710310865,44.29270539412543,40.0,12.966479471458863
22,"[1.06, 1.0449999999999997, 1.0100000000000002, 1.0241784059751653, 1.025516892231875, 1.0700000000000005, 1.0682689187275953, 1.09, 1.0664564792447424, 1.0614892137638403, 1.0630991073668639, 1.0593478559240534, 1.056232362634736, 1.0485209950949237]","[0.0, -3.395126877792365, -9.127563634667112, -7.480339098803717, -6.328619585178075, -10.369412037771463, -9.800158866948996, -9.800158866948994, -10.998270952788351, -11.105137610988953, -10.84202730011367, -11.017857873956183, -11.091355502138278, -11.785641133151918]","[16.506637428613526, 71.65554127997208, 36.360242815102595, 5.781126472694138, 8.519554801865048, 22.43989880848383, 6.846070822927269, 2.6623608755828263, 4.640114668872926, 10.269106234390907, 11.334050584624034]","[9.660566605686256, 14.452816181735345, -2.96663068993515, 1.2170792574092928, 5.7050590191060575, 12.62719729562141, 4.411912308108685, 1.369214164585454, 1.2170792574092928, 4.411912308108685, 3.8033726794040374]","[40.0, 0.0, 0.0, 0.0]","[22.166643521986046, 8.014840453062158, 1.5069128731998767, 13.446993236969185]",1.0534364450688425,-8.795833524374862,197.01470479312917,55.909578387239364,40.0,45.13539008521727
23,"[1.06, 1.045, 1.01, 1.0257323385689943, 1.0269231824152152, 1.07, 1.0699154356674472, 1.09, 1.069057722441895, 1.0640990396188679, 1.0646434292749423, 1.0604034178088404, 1.0577112154215014, 1.051772225720764]","[0.0, -2.9932016134991146, -8.21349485225978, -6.7607397992379905, -5.70732101014817, -9.392002920493987, -8.896008499098409, -8.896008499098407, -9.99782532487738, -10.091647546344719, -9.839603972529064, -9.987697298260368, -10.059324170579318, -10.707827407532163]","[15.166653063304437, 65.83865062503585, 33.40857218552773, 5.311823192678051, 7.827949968157131, 20.61826107684244, 6.290316938697692, 2.446234365049102, 4.263437036228435, 9.435475408046543, 10.41396915406618]","[8.876336124606743, 13.27955798169513, -2.725804006769, 1.1182785668795903, 5.241930782248077, 11.602140131375748, 4.0537598049385135, 1.2580633877395389, 1.1182785668795903, 4.0537598049385135, 3.4946205214987174]","[40.0, 0.0, 0.0, 0.0]","[17.23969814757247, 3.812603364771462, -1.2249673197580195, 12.42814369712331]",1.0546612862098907,-7.967335922425634,181.0213430136336,51.37092166603116,40.0,32.255477889709226
